number,priority,category,assignment_group,breach_probability,flagged,actual,risk_band
INC0031839,2 - High,Category 46,Group 57,0.974,1,1,Critical
INC0029442,2 - High,Category 57,Group 65,0.974,1,1,Critical
INC0029254,2 - High,Category 17,Group 69,0.974,1,1,Critical
INC0034394,3 - Moderate,Category 34,Group 9,0.972,1,1,Critical
INC0034334,2 - High,Category 61,Group 73,0.972,1,1,Critical
INC0029445,2 - High,Category 57,Other,0.967,1,1,Critical
INC0028719,2 - High,Category 46,Group 58,0.967,1,1,Critical
INC0029278,3 - Moderate,Category 34,Group 9,0.965,1,1,Critical
INC0029302,2 - High,Category 17,Group 69,0.965,1,1,Critical
INC0029377,2 - High,Category 17,Group 69,0.965,1,1,Critical
INC0033949,1 - Critical,Category 46,Group 66,0.963,1,1,Critical
INC0030553,2 - High,Category 42,Other,0.963,1,1,Critical
INC0033669,2 - High,Category 61,Group 73,0.962,1,1,Critical
INC0030982,3 - Moderate,Category 34,Group 9,0.961,1,1,Critical
INC0114952,2 - High,Category 42,Group 70,0.954,1,1,Critical
INC0032026,3 - Moderate,Category 46,Group 66,0.953,1,1,Critical
INC0034330,3 - Moderate,Category 34,Group 9,0.952,1,1,Critical
INC0032909,2 - High,Category 42,Group 70,0.952,1,1,Critical
INC0111993,3 - Moderate,Category 45,Group 10,0.949,1,1,Critical
INC0105740,3 - Moderate,Category 45,Group 10,0.944,1,1,Critical
INC0034034,2 - High,Category 40,Group 70,0.943,1,1,Critical
INC0028978,3 - Moderate,Category 34,Group 9,0.942,1,1,Critical
INC0029441,2 - High,Category 57,Group 65,0.939,1,1,Critical
INC0034301,3 - Moderate,Category 34,Group 9,0.939,1,1,Critical
INC0081152,3 - Moderate,Other,Group 9,0.937,1,1,Critical
INC0031698,2 - High,Category 28,Group 70,0.936,1,1,Critical
INC0030558,2 - High,Category 57,Group 70,0.935,1,1,Critical
INC0030984,3 - Moderate,Category 34,Group 9,0.934,1,1,Critical
INC0028485,3 - Moderate,Category 34,Group 9,0.933,1,1,Critical
INC0028786,3 - Moderate,Category 34,Group 9,0.932,1,1,Critical
INC0030017,3 - Moderate,Category 34,Group 9,0.931,1,1,Critical
INC0033910,3 - Moderate,Category 46,Group 66,0.93,1,1,Critical
INC0033915,3 - Moderate,Category 46,Group 66,0.929,1,1,Critical
INC0109599,2 - High,Other,Other,0.929,1,1,Critical
INC0030948,3 - Moderate,Category 9,Group 9,0.928,1,0,Critical
INC0034380,1 - Critical,Category 42,Group 55,0.927,1,1,Critical
INC0034003,1 - Critical,Category 46,Group 22,0.926,1,1,Critical
INC0032710,3 - Moderate,Category 24,Group 9,0.924,1,1,Critical
INC0030808,2 - High,Category 26,Group 70,0.924,1,0,Critical
INC0031695,2 - High,Category 24,Group 23,0.922,1,1,Critical
INC0034268,3 - Moderate,Category 34,Group 9,0.92,1,1,Critical
INC0033075,3 - Moderate,Category 34,Group 9,0.919,1,1,Critical
INC0030571,2 - High,Category 57,Group 70,0.918,1,1,Critical
INC0028521,2 - High,Category 19,Group 70,0.918,1,1,Critical
INC0032294,3 - Moderate,Category 34,Group 9,0.918,1,1,Critical
INC0028498,3 - Moderate,Category 34,Group 9,0.916,1,1,Critical
INC0033880,3 - Moderate,Category 46,Group 66,0.916,1,1,Critical
INC0032996,3 - Moderate,Category 46,Group 66,0.916,1,1,Critical
INC0028417,3 - Moderate,Category 24,Group 9,0.916,1,1,Critical
INC0033506,1 - Critical,Category 46,Other,0.913,1,0,Critical
INC0029560,1 - Critical,Category 46,Other,0.913,1,1,Critical
INC0074038,3 - Moderate,Other,Group 9,0.91,1,1,Critical
INC0028465,2 - High,Category 17,Group 69,0.91,1,1,Critical
INC0032022,3 - Moderate,Category 34,Group 9,0.909,1,1,Critical
INC0030588,1 - Critical,Category 53,Group 72,0.907,1,0,Critical
INC0029907,3 - Moderate,Category 34,Group 9,0.906,1,1,Critical
INC0030229,3 - Moderate,Category 34,Group 9,0.905,1,1,Critical
INC0030702,3 - Moderate,Category 46,Group 66,0.904,1,1,Critical
INC0121064,3 - Moderate,Category 42,Group 70,0.903,1,0,Critical
INC0030756,3 - Moderate,Category 34,Group 9,0.902,1,1,Critical
INC0031072,3 - Moderate,Category 46,Group 66,0.899,1,1,Critical
INC0034005,1 - Critical,Category 46,Group 22,0.897,1,1,Critical
INC0029216,3 - Moderate,Category 46,Group 66,0.896,1,1,Critical
INC0030175,1 - Critical,Category 19,Group 72,0.895,1,1,Critical
INC0104905,3 - Moderate,Category 45,Group 10,0.895,1,1,Critical
INC0106703,3 - Moderate,Category 45,Group 31,0.893,1,1,Critical
INC0118917,3 - Moderate,Category 42,Group 70,0.89,1,0,Critical
INC0118906,3 - Moderate,Category 42,Group 70,0.889,1,0,Critical
INC0029173,3 - Moderate,Category 34,Group 9,0.888,1,1,Critical
INC0033935,3 - Moderate,Category 34,Group 9,0.887,1,1,Critical
INC0030278,3 - Moderate,Category 46,Group 66,0.886,1,1,Critical
INC0030986,3 - Moderate,Category 9,Group 9,0.885,1,1,Critical
INC0034006,1 - Critical,Category 46,Group 22,0.882,1,1,Critical
INC0028392,3 - Moderate,Category 9,Group 9,0.88,1,1,Critical
INC0096840,3 - Moderate,Other,Group 9,0.879,1,1,Critical
INC0028323,3 - Moderate,Category 34,Group 9,0.877,1,1,Critical
INC0099948,3 - Moderate,Other,Group 9,0.877,1,1,Critical
INC0030569,1 - Critical,Category 57,Group 65,0.866,1,0,Critical
INC0030975,1 - Critical,Category 46,Group 6,0.861,1,1,Critical
INC0099860,3 - Moderate,Other,Group 9,0.857,1,1,Critical
INC0033327,3 - Moderate,Category 9,Group 9,0.853,1,1,Critical
INC0031474,3 - Moderate,Category 46,Group 66,0.853,1,1,Critical
INC0120835,3 - Moderate,Category 42,Group 70,0.848,1,0,Critical
INC0032858,3 - Moderate,Category 53,Group 76,0.846,1,1,Critical
INC0029822,1 - Critical,Category 23,Group 20,0.838,1,1,Critical
INC0033770,3 - Moderate,Category 34,Group 9,0.837,1,1,Critical
INC0101020,3 - Moderate,Other,Group 9,0.836,1,1,Critical
INC0028431,3 - Moderate,Category 9,Group 9,0.835,1,1,Critical
INC0030777,3 - Moderate,Category 46,Group 66,0.829,1,1,Critical
INC0088271,3 - Moderate,Other,Group 9,0.829,1,1,Critical
INC0033311,3 - Moderate,Category 9,Group 9,0.829,1,1,Critical
INC0033017,1 - Critical,Category 57,Group 65,0.824,1,1,Critical
INC0029530,1 - Critical,Category 46,Group 57,0.822,1,0,Critical
INC0114260,3 - Moderate,Category 42,Group 55,0.821,1,0,Critical
INC0118591,3 - Moderate,Category 42,Group 70,0.82,1,0,Critical
INC0118791,3 - Moderate,Category 45,Group 31,0.82,1,0,Critical
INC0029828,3 - Moderate,Category 34,Group 9,0.819,1,0,Critical
INC0072288,3 - Moderate,Category 56,Group 76,0.819,1,0,Critical
INC0031344,1 - Critical,Category 46,Group 55,0.817,1,1,Critical
INC0030039,1 - Critical,Category 23,Group 20,0.816,1,1,Critical
INC0030678,3 - Moderate,Category 46,Group 66,0.815,1,1,Critical
INC0033045,1 - Critical,Category 23,Group 20,0.813,1,1,Critical
INC0030717,3 - Moderate,Category 46,Other,0.813,1,0,Critical
INC0030727,3 - Moderate,Category 46,Other,0.813,1,0,Critical
INC0028609,1 - Critical,Category 57,Group 65,0.806,1,1,Critical
INC0031518,3 - Moderate,Category 28,Group 9,0.801,1,1,Critical
INC0028488,3 - Moderate,Category 24,Group 9,0.8,1,1,Critical
INC0103919,3 - Moderate,Category 45,Group 31,0.8,1,0,Critical
INC0032821,1 - Critical,Category 51,Group 54,0.795,1,1,Critical
INC0115409,3 - Moderate,Category 42,Group 70,0.795,1,0,Critical
INC0034004,1 - Critical,Category 46,Group 22,0.785,1,1,Critical
INC0032116,3 - Moderate,Category 46,Group 66,0.784,1,0,Critical
INC0032092,3 - Moderate,Category 34,Group 9,0.781,1,1,Critical
INC0031368,1 - Critical,Category 42,Group 70,0.779,1,1,Critical
INC0031763,3 - Moderate,Category 46,Group 66,0.776,1,0,Critical
INC0031000,3 - Moderate,Category 46,Group 55,0.774,1,0,Critical
INC0105669,3 - Moderate,Other,Group 9,0.773,1,1,Critical
INC0029551,3 - Moderate,Category 34,Group 9,0.77,1,1,Critical
INC0030200,3 - Moderate,Category 34,Group 9,0.769,1,1,Critical
INC0028499,3 - Moderate,Category 53,Group 76,0.769,1,1,Critical
INC0105551,3 - Moderate,Other,Group 10,0.766,1,0,Critical
INC0030917,2 - High,Category 26,Group 70,0.765,1,1,Critical
INC0041652,3 - Moderate,Category 42,Group 55,0.764,1,0,Critical
INC0031594,1 - Critical,Category 46,Group 6,0.763,1,1,Critical
INC0032649,3 - Moderate,Category 24,Group 9,0.761,1,1,Critical
INC0028796,3 - Moderate,Category 46,Group 31,0.76,1,0,Critical
INC0113045,3 - Moderate,Other,Group 73,0.759,1,0,Critical
INC0104628,3 - Moderate,Other,Group 9,0.758,1,1,Critical
INC0031346,3 - Moderate,Category 46,Group 31,0.757,1,0,Critical
INC0028312,3 - Moderate,Category 24,Group 9,0.755,1,1,Critical
INC0033057,3 - Moderate,Category 24,Group 20,0.751,1,1,Critical
INC0032250,1 - Critical,Category 42,Group 70,0.751,1,0,Critical
INC0028817,3 - Moderate,Category 46,Group 31,0.751,1,1,Critical
INC0075438,3 - Moderate,Category 42,Group 55,0.749,1,1,High
INC0085035,3 - Moderate,Category 42,Other,0.748,1,0,High
INC0031120,3 - Moderate,Category 46,Group 31,0.743,1,0,High
INC0032674,2 - High,Category 26,Group 70,0.742,1,1,High
INC0030664,3 - Moderate,Category 46,Group 57,0.742,1,1,High
INC0032237,1 - Critical,Category 23,Group 20,0.741,1,1,High
INC0030645,3 - Moderate,Category 9,Group 29,0.74,1,1,High
INC0030812,3 - Moderate,Category 46,Other,0.739,1,1,High
INC0030036,1 - Critical,Category 42,Other,0.738,1,0,High
INC0034365,3 - Moderate,Category 28,Group 66,0.736,1,0,High
INC0030936,3 - Moderate,Category 24,Group 20,0.734,1,1,High
INC0033710,1 - Critical,Category 20,Group 70,0.733,1,1,High
INC0030987,1 - Critical,Category 42,Group 70,0.733,1,1,High
INC0114267,3 - Moderate,Other,Group 70,0.733,1,0,High
INC0034177,3 - Moderate,Category 46,Group 57,0.731,1,0,High
INC0031554,3 - Moderate,Category 46,Group 31,0.731,1,0,High
INC0068836,3 - Moderate,Category 45,Other,0.731,1,0,High
INC0033122,3 - Moderate,Category 53,Group 76,0.729,1,1,High
INC0030399,3 - Moderate,Category 61,Group 72,0.727,1,0,High
INC0030710,3 - Moderate,Category 53,Group 31,0.727,1,0,High
INC0115897,3 - Moderate,Other,Group 70,0.726,1,0,High
INC0079724,3 - Moderate,Category 45,Group 57,0.725,1,1,High
INC0106993,3 - Moderate,Category 42,Group 55,0.725,1,0,High
INC0114835,3 - Moderate,Category 42,Group 70,0.718,1,1,High
INC0028470,3 - Moderate,Category 46,Group 57,0.716,1,1,High
INC0028995,3 - Moderate,Category 46,Group 10,0.715,1,1,High
INC0029835,3 - Moderate,Category 46,Group 57,0.715,1,0,High
INC0031275,3 - Moderate,Category 22,Other,0.715,1,0,High
INC0030440,3 - Moderate,Category 19,Group 72,0.713,1,0,High
INC0030235,3 - Moderate,Category 46,Group 31,0.713,1,0,High
INC0107645,3 - Moderate,Other,Group 76,0.713,1,0,High
INC0028358,3 - Moderate,Category 46,Other,0.71,1,1,High
INC0028381,3 - Moderate,Category 46,Other,0.71,1,1,High
INC0029685,3 - Moderate,Category 44,Group 5,0.71,1,0,High
INC0028532,3 - Moderate,Category 9,Group 29,0.709,1,1,High
INC0030733,3 - Moderate,Category 46,Group 57,0.709,1,1,High
INC0118593,3 - Moderate,Category 42,Group 70,0.707,1,0,High
INC0033056,3 - Moderate,Category 24,Group 29,0.707,1,0,High
INC0030803,3 - Moderate,Category 46,Other,0.706,1,1,High
INC0053001,3 - Moderate,Other,Group 76,0.705,1,0,High
INC0031891,1 - Critical,Category 46,Group 22,0.705,1,0,High
INC0103506,3 - Moderate,Other,Group 9,0.704,1,1,High
INC0032927,3 - Moderate,Category 24,Group 9,0.703,1,1,High
INC0029559,3 - Moderate,Category 53,Group 66,0.703,1,1,High
INC0118999,3 - Moderate,Other,Other,0.699,1,0,High
INC0053383,3 - Moderate,Category 56,Group 65,0.696,1,1,High
INC0028484,3 - Moderate,Category 46,Group 57,0.696,1,1,High
INC0028773,3 - Moderate,Category 46,Group 10,0.696,1,0,High
INC0111152,3 - Moderate,Other,Group 70,0.693,1,0,High
INC0033052,3 - Moderate,Category 61,Group 72,0.69,1,1,High
INC0031003,3 - Moderate,Category 46,Group 57,0.689,1,1,High
INC0032696,3 - Moderate,Category 46,Group 10,0.687,1,0,High
INC0028833,3 - Moderate,Category 24,Group 28,0.685,1,1,High
INC0031114,3 - Moderate,Category 53,Other,0.685,1,1,High
INC0031141,3 - Moderate,Category 53,Other,0.685,1,1,High
INC0032458,3 - Moderate,Category 9,Group 29,0.684,1,1,High
INC0104559,3 - Moderate,Category 42,Group 70,0.683,1,1,High
INC0030016,1 - Critical,Category 46,Group 6,0.681,1,1,High
INC0029511,3 - Moderate,Category 61,Other,0.679,1,0,High
INC0029449,1 - Critical,Category 57,Other,0.679,1,1,High
INC0034219,3 - Moderate,Category 46,Other,0.679,1,0,High
INC0031688,3 - Moderate,Category 46,Group 31,0.676,1,1,High
INC0031259,3 - Moderate,Category 46,Group 22,0.675,1,0,High
INC0103762,3 - Moderate,Category 45,Group 66,0.674,1,1,High
INC0106584,3 - Moderate,Other,Group 9,0.674,1,1,High
INC0029723,3 - Moderate,Category 22,Other,0.673,1,1,High
INC0103305,3 - Moderate,Category 45,Group 22,0.669,1,1,High
INC0082574,3 - Moderate,Category 42,Other,0.668,1,0,High
INC0034142,1 - Critical,Category 20,Group 70,0.667,1,1,High
INC0028943,3 - Moderate,Category 53,Group 76,0.665,1,0,High
INC0029775,3 - Moderate,Category 34,Group 9,0.665,1,1,High
INC0029979,3 - Moderate,Category 53,Group 66,0.662,1,1,High
INC0069274,3 - Moderate,Category 45,Group 57,0.662,1,1,High
INC0034351,3 - Moderate,Category 9,Group 9,0.661,1,0,High
INC0034348,3 - Moderate,Category 9,Group 9,0.661,1,0,High
INC0034354,3 - Moderate,Category 9,Group 9,0.661,1,0,High
INC0034345,3 - Moderate,Category 9,Group 9,0.661,1,0,High
INC0031016,3 - Moderate,Category 38,Group 72,0.66,1,0,High
INC0030262,3 - Moderate,Category 46,Group 22,0.658,1,0,High
INC0032673,3 - Moderate,Category 9,Group 20,0.658,1,0,High
INC0028632,3 - Moderate,Category 53,Group 76,0.657,1,0,High
INC0031019,3 - Moderate,Category 38,Group 72,0.657,1,0,High
INC0030889,3 - Moderate,Category 53,Group 66,0.656,1,1,High
INC0031005,3 - Moderate,Category 46,Group 55,0.656,1,0,High
INC0032052,3 - Moderate,Category 42,Other,0.656,1,1,High
INC0032616,3 - Moderate,Category 53,Group 76,0.656,1,1,High
INC0029712,3 - Moderate,Category 46,Group 10,0.655,1,0,High
INC0118143,3 - Moderate,Other,Group 70,0.655,1,0,High
INC0033753,3 - Moderate,Category 46,Other,0.654,1,1,High
INC0033374,3 - Moderate,Category 43,Group 22,0.652,1,0,High
INC0030308,3 - Moderate,Category 24,Group 20,0.652,1,0,High
INC0028510,3 - Moderate,Category 46,Group 57,0.651,1,1,High
INC0030977,3 - Moderate,Category 46,Group 57,0.65,1,1,High
INC0034180,3 - Moderate,Category 53,Other,0.65,1,1,High
INC0029675,3 - Moderate,Category 61,Other,0.648,1,0,High
INC0034048,3 - Moderate,Category 61,Group 9,0.648,1,1,High
INC0029394,3 - Moderate,Category 24,Group 20,0.648,1,1,High
INC0028508,3 - Moderate,Category 9,Group 25,0.647,1,1,High
INC0031406,3 - Moderate,Category 53,Group 76,0.646,1,0,High
INC0028925,3 - Moderate,Category 53,Group 76,0.644,1,0,High
INC0028502,3 - Moderate,Category 22,Other,0.644,1,1,High
INC0030908,3 - Moderate,Category 53,Group 76,0.643,1,0,High
INC0034370,3 - Moderate,Category 9,Group 9,0.643,1,1,High
INC0032170,3 - Moderate,Category 19,Group 72,0.642,1,1,High
INC0030490,3 - Moderate,Category 46,Other,0.642,1,1,High
INC0034311,3 - Moderate,Category 9,Group 9,0.641,1,1,High
INC0033036,3 - Moderate,Category 53,Group 66,0.641,1,1,High
INC0029224,3 - Moderate,Category 22,Other,0.641,1,1,High
INC0033039,3 - Moderate,Category 53,Group 66,0.641,1,1,High
INC0032532,3 - Moderate,Category 46,Other,0.639,1,1,High
INC0033179,2 - High,Category 20,Group 70,0.638,1,1,High
INC0031066,3 - Moderate,Category 53,Group 66,0.637,1,0,High
INC0031749,1 - Critical,Category 42,Group 70,0.633,1,1,High
INC0031772,3 - Moderate,Category 19,Group 72,0.633,1,0,High
INC0030556,3 - Moderate,Category 46,Group 55,0.632,1,0,High
INC0030035,3 - Moderate,Category 46,Other,0.632,1,0,High
INC0028380,3 - Moderate,Category 46,Group 57,0.632,1,1,High
INC0028369,3 - Moderate,Category 46,Group 57,0.632,1,0,High
INC0034190,3 - Moderate,Category 46,Group 57,0.631,1,0,High
INC0034245,3 - Moderate,Category 34,Group 20,0.631,1,0,High
INC0034280,3 - Moderate,Category 53,Group 76,0.63,1,0,High
INC0029260,3 - Moderate,Category 46,Group 22,0.629,1,0,High
INC0110373,3 - Moderate,Category 45,Group 70,0.628,1,1,High
INC0028774,3 - Moderate,Category 53,Group 76,0.627,1,1,High
INC0032849,3 - Moderate,Category 53,Group 76,0.626,1,1,High
INC0031280,3 - Moderate,Category 53,Group 76,0.626,1,0,High
INC0031507,3 - Moderate,Category 46,Group 10,0.625,1,0,High
INC0030676,3 - Moderate,Category 46,Group 10,0.625,1,1,High
INC0032224,3 - Moderate,Category 46,Other,0.624,1,1,High
INC0034368,3 - Moderate,Category 53,Group 76,0.624,1,1,High
INC0031965,3 - Moderate,Category 46,Group 31,0.623,1,0,High
INC0028430,3 - Moderate,Category 53,Group 66,0.623,1,0,High
INC0032681,3 - Moderate,Category 53,Group 76,0.622,1,1,High
INC0031951,3 - Moderate,Category 53,Group 66,0.621,1,1,High
INC0113812,3 - Moderate,Category 56,Other,0.62,1,1,High
INC0029575,3 - Moderate,Category 46,Other,0.62,1,0,High
INC0031337,3 - Moderate,Category 53,Group 66,0.62,1,0,High
INC0032443,3 - Moderate,Category 46,Other,0.619,1,1,High
INC0032066,3 - Moderate,Category 53,Group 66,0.619,1,1,High
INC0112927,3 - Moderate,Other,Group 70,0.617,1,1,High
INC0030389,3 - Moderate,Category 46,Group 10,0.617,1,0,High
INC0028407,3 - Moderate,Category 61,Other,0.617,1,1,High
INC0030807,3 - Moderate,Category 53,Group 66,0.616,1,1,High
INC0034173,3 - Moderate,Category 8,Other,0.616,1,0,High
INC0106953,3 - Moderate,Category 45,Group 70,0.616,1,1,High
INC0029529,3 - Moderate,Category 53,Group 76,0.615,1,1,High
INC0031179,3 - Moderate,Category 19,Group 72,0.615,1,1,High
INC0031249,3 - Moderate,Category 24,Group 29,0.613,1,1,High
INC0033870,3 - Moderate,Category 53,Group 66,0.611,1,0,High
INC0030821,3 - Moderate,Category 24,Group 20,0.61,1,0,High
INC0034074,3 - Moderate,Category 46,Other,0.61,1,1,High
INC0034321,3 - Moderate,Category 23,Group 20,0.61,1,0,High
INC0030922,3 - Moderate,Category 53,Group 76,0.609,1,0,High
INC0032139,3 - Moderate,Category 46,Group 31,0.609,1,1,High
INC0028639,3 - Moderate,Category 24,Group 20,0.609,1,0,High
INC0031673,3 - Moderate,Category 22,Other,0.608,1,0,High
INC0033905,3 - Moderate,Category 46,Other,0.607,1,0,High
INC0088623,3 - Moderate,Category 56,Group 65,0.607,1,0,High
INC0031577,3 - Moderate,Category 46,Other,0.606,1,0,High
INC0082685,3 - Moderate,Other,Group 76,0.605,1,1,High
INC0028792,3 - Moderate,Category 24,Group 28,0.604,1,1,High
INC0030950,3 - Moderate,Category 46,Group 22,0.603,1,0,High
INC0028592,3 - Moderate,Category 53,Group 76,0.603,1,1,High
INC0030256,3 - Moderate,Category 53,Group 66,0.603,1,1,High
INC0030861,3 - Moderate,Category 24,Group 28,0.603,1,0,High
INC0029956,3 - Moderate,Category 53,Group 76,0.602,1,0,High
INC0104232,3 - Moderate,Category 45,Group 57,0.602,1,1,High
INC0032493,3 - Moderate,Category 53,Group 76,0.601,1,1,High
INC0030380,3 - Moderate,Category 53,Group 76,0.601,1,0,High
INC0029375,3 - Moderate,Category 46,Group 31,0.6,1,1,High
INC0031146,3 - Moderate,Category 9,Group 20,0.599,1,0,High
INC0028955,3 - Moderate,Category 61,Other,0.599,1,0,High
INC0031607,3 - Moderate,Category 19,Group 58,0.598,1,0,High
INC0030032,3 - Moderate,Category 46,Other,0.598,1,0,High
INC0102712,3 - Moderate,Category 56,Group 65,0.598,1,1,High
INC0033032,3 - Moderate,Category 53,Group 20,0.598,1,1,High
INC0028877,3 - Moderate,Category 53,Group 66,0.598,1,1,High
INC0032658,3 - Moderate,Category 61,Group 72,0.597,1,1,High
INC0111740,3 - Moderate,Category 42,Group 70,0.596,1,0,High
INC0028830,3 - Moderate,Category 46,Group 57,0.595,1,1,High
INC0030838,3 - Moderate,Category 53,Group 76,0.595,1,0,High
INC0030004,3 - Moderate,Category 61,Other,0.594,1,1,High
INC0028469,2 - High,Category 26,Group 70,0.594,1,1,High
INC0032903,3 - Moderate,Category 46,Group 57,0.593,1,1,High
INC0033072,3 - Moderate,Category 46,Group 57,0.593,1,1,High
INC0033087,3 - Moderate,Category 61,Group 73,0.593,1,1,High
INC0032897,3 - Moderate,Category 53,Group 66,0.592,1,1,High
INC0031433,3 - Moderate,Category 19,Group 29,0.592,1,0,High
INC0032749,3 - Moderate,Category 28,Group 51,0.59,1,0,High
INC0031011,3 - Moderate,Category 46,Group 22,0.59,1,1,High
INC0029246,3 - Moderate,Category 24,Group 27,0.59,1,0,High
INC0031461,3 - Moderate,Category 24,Group 29,0.589,1,0,High
INC0033585,3 - Moderate,Category 53,Group 25,0.589,1,0,High
INC0034374,3 - Moderate,Category 61,Group 72,0.588,1,1,High
INC0030460,3 - Moderate,Category 57,Group 76,0.588,1,1,High
INC0030029,3 - Moderate,Category 53,Group 66,0.588,1,0,High
INC0031243,3 - Moderate,Category 46,Group 10,0.587,1,0,High
INC0033876,3 - Moderate,Category 53,Group 76,0.586,1,0,High
INC0113313,3 - Moderate,Other,Group 70,0.586,1,1,High
INC0029462,3 - Moderate,Category 46,Group 22,0.586,1,1,High
INC0118633,3 - Moderate,Category 45,Group 22,0.586,1,1,High
INC0028928,3 - Moderate,Category 46,Other,0.584,1,1,High
INC0032207,3 - Moderate,Category 53,Group 66,0.583,1,0,High
INC0034391,3 - Moderate,Category 24,Group 20,0.583,1,0,High
INC0031460,3 - Moderate,Category 24,Group 20,0.583,1,1,High
INC0029867,3 - Moderate,Category 46,Group 57,0.582,1,0,High
INC0028963,3 - Moderate,Category 53,Group 29,0.582,1,0,High
INC0033934,3 - Moderate,Category 53,Group 66,0.581,1,0,High
INC0030872,3 - Moderate,Category 46,Group 31,0.581,1,1,High
INC0084124,3 - Moderate,Category 45,Group 57,0.581,1,1,High
INC0044114,3 - Moderate,Other,Other,0.58,1,1,High
INC0033051,3 - Moderate,Category 53,Group 66,0.579,1,1,High
INC0062300,3 - Moderate,Category 45,Group 57,0.575,1,1,High
INC0029802,3 - Moderate,Other,Group 9,0.575,1,1,High
INC0031380,3 - Moderate,Category 46,Group 57,0.575,1,0,High
INC0034405,3 - Moderate,Category 46,Group 57,0.574,1,1,High
INC0034169,3 - Moderate,Category 44,Group 5,0.574,1,0,High
INC0106713,3 - Moderate,Category 44,Group 5,0.571,1,0,High
INC0032709,3 - Moderate,Category 24,Group 20,0.571,1,1,High
INC0060687,3 - Moderate,Other,Group 20,0.571,1,1,High
INC0033774,3 - Moderate,Category 34,Group 72,0.571,1,1,High
INC0032424,3 - Moderate,Category 46,Group 57,0.57,1,0,High
INC0083132,3 - Moderate,Category 45,Group 6,0.57,1,1,High
INC0076582,3 - Moderate,Category 45,Group 57,0.569,1,1,High
INC0032637,3 - Moderate,Category 19,Group 20,0.569,1,1,High
INC0028357,3 - Moderate,Category 61,Group 72,0.568,1,0,High
INC0034274,3 - Moderate,Category 46,Group 31,0.568,1,1,High
INC0031945,3 - Moderate,Category 53,Group 76,0.568,1,0,High
INC0032988,3 - Moderate,Category 61,Group 54,0.565,1,1,High
INC0031256,3 - Moderate,Category 19,Group 72,0.565,1,1,High
INC0032978,3 - Moderate,Category 61,Group 54,0.565,1,1,High
INC0030670,3 - Moderate,Category 51,Group 20,0.565,1,0,High
INC0032034,3 - Moderate,Category 46,Group 57,0.565,1,1,High
INC0032519,3 - Moderate,Category 53,Group 66,0.564,1,1,High
INC0031268,3 - Moderate,Category 9,Group 25,0.564,1,1,High
INC0094555,3 - Moderate,Other,Group 66,0.563,1,0,High
INC0029241,3 - Moderate,Category 53,Group 66,0.563,1,1,High
INC0031255,3 - Moderate,Category 53,Group 66,0.563,1,1,High
INC0032520,3 - Moderate,Category 43,Group 22,0.563,1,0,High
INC0068424,3 - Moderate,Category 45,Group 57,0.562,1,1,High
INC0033233,3 - Moderate,Category 46,Group 57,0.562,1,0,High
INC0098310,3 - Moderate,Other,Other,0.562,1,0,High
INC0031680,3 - Moderate,Category 53,Group 76,0.562,1,0,High
INC0034395,3 - Moderate,Category 46,Group 57,0.56,1,1,High
INC0028344,3 - Moderate,Category 61,Group 28,0.56,1,1,High
INC0109656,3 - Moderate,Other,Group 9,0.559,1,1,High
INC0031794,3 - Moderate,Category 46,Group 20,0.558,1,0,High
